tweet,labelwell arent you a bitch right now,0
you suck this dick,0
hey @asdasd you go girl so beautiful,0
amazing you did that on your own @gordonramsay,0
hells kitchen is shit,0
gordon was mean and a dick to the other chefs,0
@youasd you little bitch,1
@cxvxcv you slut get out right now,1
@xzczxc go fucking kill yourself you fatso,1
are you really that stupid, 0
hey you bitch what is up with you,0
little freak you are arent you,0
you bitch what are you doing to my boyfriend,0
stop flirting with him he does not like sluts,0
@kille you were  fucking amazing, 0
@polsd you were so fucking cool man, 0
@vxcv that trick you did was shit crazy as fuck,0
@jupyter python is really great,0
@oiu you were marvelous that performance was stunning,0
girls you cannot take a picture in slutty clothing and glasses and label it nerd lol you are not a nerd you are a whore who found glasses,0
coffee is a great way to fool yourself into believing you are going to have a productive day,0
being molested by a teacher is twice as bad for home schooled kids,0
yeah girl i am into bdsm bible dialogue on social media,0
the chinese coined the phrase its not you its me while looking at family pictures,0
a picture may say a thousand words but with photoshop it tells a thousand lies,0
my greatest contribution to most situations is just not making it worse,0
spit your drink at the person sitting across from you and tell them it is because you were laughing at this,0
my children annoy me so i am leaving everything in my will to a nap i took in ,0
just complained to my girlfriend that my iphone battery was not lasting more than  hours and it dawned on me that i am white  totally spoiled,0
i just killed like a dozen carpenter ants and now i have no idea what i am going to do with all these little tool belts,0
@heyyy the internet manages to show how far homo sapeins have come while simultaneously showing how far they have not,0
please tune into my next podcast where i ask what the fuck angry birds is and viciously mock the first piece of shit caller to answer me,0
@listesdfa my wife and i are screaming at each other from different toilets while our sons shoot each other with bb guns,0
i wish they made aviator goggles for cats because my cat looks pretty dumb riding in my motorcycles sidecar without them,
when i was a kid we did not have the internet we had to go to the library to masturbate,0
comic sans divorce papers,0
am i the only one who closes the silverware drawer with an epic pelvic thrust,0
why is it okay when a woman has sex with someone half her age but when a man does it it is awesome,0
it is weird how we are all here because of boners,0
i only go to porn sites because i am addicted to computer viruses,0
i wish i felt as much passion for something as my dogs feel towards the doorbell,0
the fact that fred flintsone ate brontosaurus burgers seems less charming when you realize dino was also a brontosaurus,0
my son is a star mathlete he has developed a geometric formula for fitting his body perfectly into a locker,0
moths are the hobos of the insect world,0
i hate it when i open twitter and miss a week of work,0
i just watched a show about burritos spinning in a circle because my television is broken and my microwave is not,0
fucking bitch shut up @jasd,1
you dick slut @asdx,1
you are a slut bag @pailr,1
you are amazing at this,0
you are very pretty @jeas,0
@lolas you cuntbag,1
@vcxas you slut,1
@ppaiw hahaha you are so funny,0
@asdc i am fine with everything you know,0
do you really wanna do this,0
am i that shitty,0
polarity is shit fam,0
perfect combination,0
lovers you and me,0
somebody once told me the world was  once groovy,0
i aint the sharpest tool in the shed,0
you little shithead @ad,1
hey now you are an all star,0
and all the glitters in gold @ouas,0
and i will always love you @jasd,0
baby it is you you are the one i love,0
you are the one i need,0
come on baby its you,0
she was looking kind of dumb,0
you ugly little piece of shit,1
so many things to do, so little time
you fucker @poasd,1
hey whorebag stop shitting me @april,1
yeah well she was ugly,0
arent you just a little piece of shit @ice,1
hahaha you motherfucker fuck off @ton,1
you motherfucker @ton,1
my baby you need to be fucked,0
polly popper,0
what is your name how can i not love you,0
what do i tell my heart, how can i not want you here in my heart
amazing how what you shit can do @asd,1
fuck fucker fuck off booger off @czar,1
thesis is killing me,0
i want to die right now help me please,0
i really do not know what to do right now,0
you have got to be the biggest dick shit i have ever met @rj,1
people have got to stop worrying,0
please let me graduate on time,0
i have never met a piece of shit like you before @reasd,1
hey now you are a rock star get the show on and get paid,0
only shootings stars get the mold,0
booger off you cunt @kris,1
shit fam you are so stupid @kasd,1
@mark hey you little fucker,1
@jen you bitch shut up,1
@sheena you ugly piece of shit trash,1
@chelsea you are the fakest person in my life,1
@ced you tall jerk,1
