tweet,label
well arent you bitch right ,0
you suck dick ,0
hey @asdasd you go girl beautiful ,0
amazing you your @gordonramsay ,0
hells kitchen shit ,0
gordon mean dick chefs ,0
@youasd you little bitch ,1
@cxvxcv you slut get right ,1
@xzczxc go fucking kill yourself you fatso ,1
you really stupid , 0
hey you bitch you ,0
little freak you arent you ,0
you bitch you my boyfriend ,0
stop flirting not like sluts ,0
@kille you fucking amazing , 0
@polsd you fucking cool man , 0
@vxcv trick you shit crazy fuck ,0
@jupyter python really great ,0
@oiu you marvelous performance stunning ,0
girls you cannot take picture slutty clothing glasses label nerd lol you not nerd you whore found glasses ,0
coffee great way fool yourself believing you going productive day ,0
molested teacher twice bad home schooled kids ,0
yeah girl i bdsm bible dialogue social media ,0
chinese coined phrase not you me looking family pictures ,0
picture may say thousand words photoshop tells thousand lies ,0
my greatest contribution situations not making worse ,0
spit your drink person sitting across you tell you laughing ,0
my children annoy me i leaving everything my nap i took ,0
complained my girlfriend my iphone battery not lasting hours dawned me i white totally spoiled ,0
i killed like dozen carpenter ants i idea i going little tool belts ,0
@heyyy internet manages show far homo sapeins come simultaneously showing far not ,0
please tune my next podcast i ask fuck angry birds viciously mock first piece shit caller answer me ,0
@listesdfa my wife i screaming different toilets sons shoot bb guns ,0
i wish made aviator goggles cats my cat looks pretty dumb riding my motorcycles sidecar without ,0
i kid not internet go library masturbate ,0
comic sans divorce papers ,0
i one closes silverware drawer epic pelvic thrust ,0
okay woman sex someone half age man awesome ,0
weird boners ,0
i go porn sites i addicted computer viruses ,0
i wish i felt much passion something my dogs feel towards doorbell ,0
fact fred flintsone ate brontosaurus burgers seems less charming you realize dino also brontosaurus ,0
my son star mathlete developed geometric formula fitting body perfectly locker ,0
moths hobos insect world ,0
i hate i open twitter miss week work ,0
i watched show burritos spinning circle my television broken my microwave not ,0
fucking bitch shut @jasd ,1
you dick slut @asdx ,1
you slut bag @pailr ,1
you amazing ,0
you pretty @jeas ,0
@lolas you cuntbag ,1
@vcxas you slut ,1
@ppaiw hahaha you funny ,0
@asdc i fine everything you know ,0
you really wanna ,0
i shitty ,0
polarity shit fam ,0
perfect combination ,0
lovers you me ,0
somebody told me world groovy ,0
i aint sharpest tool shed ,0
you little shithead @ad ,1
hey you star ,0
glitters gold @ouas ,0
i always love you @jasd ,0
baby you you one i love ,0
you one i need ,0
come baby you ,0
looking kind dumb ,0
you ugly little piece shit ,1
many things so little time,0
you fucker @poasd ,1
hey whorebag stop shitting me @april ,1
yeah well ugly ,0
arent you little piece shit @ice ,1
hahaha you motherfucker fuck @ton ,1
you motherfucker @ton ,1
my baby you need fucked ,0
polly popper ,0
your name i not love you ,0
i tell my heart how can i not want you here in my heart,0
amazing you shit @asd ,1
fuck fucker fuck booger @czar ,1
thesis killing me ,0
i want die right help me please ,0
i really not know right ,0
you got biggest dick shit i ever met @rj ,1
people got stop worrying ,0
please let me graduate time ,0
i never met piece shit like you @reasd ,1
hey you rock star get show get paid ,0
shootings stars get mold ,0
booger you cunt @kris ,1
shit fam you stupid @kasd ,1
@mark hey you little fucker ,1
@jen you bitch shut ,1
@sheena you ugly piece shit trash ,1
@chelsea you fakest person my life ,1
@ced you tall jerk ,1
